"rt","response","stage","start_time","s","word","word_id","phase","a_cor","a_real","a_ava","trial","tps","task_type","block_typ","pic_typ","block_id","cum_r","a","r","n_Prac"
"523","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","84","8","setsize","10S3A","sports","1","3","0","1","1"
"950","null","learn","18:04:19","6","6","6","learn","2","2","[0, 1, 2]","85","8","setsize","10S3A","sports","1","4","2","1","1"
"1337","null","learn","18:04:19","7","7","7","learn","2","2","[0, 1, 2]","86","8","setsize","10S3A","sports","1","0","1","0","1"
"659","null","learn","18:04:19","3","3","3","learn","1","1","[0, 1, 2]","87","8","setsize","10S3A","sports","1","1","1","1","1"
"613","null","learn","18:04:19","4","4","4","learn","1","1","[0, 1, 2]","88","8","setsize","10S3A","sports","1","2","1","1","1"
"743","null","learn","18:04:19","8","8","8","learn","2","2","[0, 1, 2]","89","8","setsize","10S3A","sports","1","3","2","1","1"
"766","null","learn","18:04:19","9","9","9","learn","2","2","[0, 1, 2]","90","9","setsize","10S3A","sports","1","0","1","0","1"
"265","null","learn","18:04:19","1","1","1","learn","0","0","[0, 1, 2]","91","9","setsize","10S3A","sports","1","0","2","0","1"
"615","null","learn","18:04:19","8","8","8","learn","2","2","[0, 1, 2]","92","9","setsize","10S3A","sports","1","1","2","1","1"
"762","null","learn","18:04:19","2","2","2","learn","0","0","[0, 1, 2]","93","9","setsize","10S3A","sports","1","2","0","1","1"
"487","null","learn","18:04:19","4","4","4","learn","1","1","[0, 1, 2]","94","9","setsize","10S3A","sports","1","3","1","1","1"
"535","null","learn","18:04:19","3","3","3","learn","1","1","[0, 1, 2]","95","9","setsize","10S3A","sports","1","4","1","1","1"
"711","null","learn","18:04:19","7","7","7","learn","2","2","[0, 1, 2]","96","9","setsize","10S3A","sports","1","5","2","1","1"
"524","null","learn","18:04:19","5","5","5","learn","1","1","[0, 1, 2]","97","9","setsize","10S3A","sports","1","6","1","1","1"
"523","null","learn","18:04:19","6","6","6","learn","2","2","[0, 1, 2]","98","9","setsize","10S3A","sports","1","7","2","1","1"
