"rt","response","stage","start_time","s","word","word_id","phase","a_cor","a_real","a_ava","trial","tps","task_type","block_typ","pic_typ","block_id","cum_r","a","r","n_Prac","slider_start","pair_type"
"99","null","memory","16:32:00","1","沙漠","6","memory","99","","[]","94","0","setsizechunk","3S","furniture","1","","99","99","4","",""
"99","null","memory","16:32:00","1","窗帘","11","memory","99","","[]","95","0","setsizechunk","3S","furniture","1","","99","99","4","",""
"99","null","memory","16:32:00","0","钥匙","10","memory","99","","[]","96","0","setsizechunk","3S","furniture","1","","99","99","4","",""
"99","null","memory","16:32:00","8","深邃","18","memory","99","","[]","97","0","setsizechunk","3S","furniture","1","","99","99","4","",""
"99","null","memory","16:32:00","9","明亮","9","memory","99","","[]","98","0","setsizechunk","3S","furniture","1","","99","99","4","",""
"99","null","memory","16:32:00","1","玻璃","16","memory","99","","[]","99","0","setsizechunk","3S","furniture","1","","99","99","4","",""
"99","null","memory","16:32:00","9","山峰","14","memory","99","","[]","100","0","setsizechunk","3S","furniture","1","","99","99","4","",""
"99","null","memory","16:32:00","8","纸张","8","memory","99","","[]","101","0","setsizechunk","3S","furniture","1","","99","99","4","",""
"99","null","memory","16:32:00","1","雨伞","1","memory","99","","[]","102","0","setsizechunk","3S","furniture","1","","99","99","4","",""
"99","null","memory","16:32:00","0","清新","0","memory","99","","[]","103","0","setsizechunk","3S","furniture","1","","99","99","4","",""
"99","null","memory","16:32:00","0","钢笔","5","memory","99","","[]","104","0","setsizechunk","3S","furniture","1","","99","99","4","",""
"99","null","memory","16:32:00","2","湖泊","12","memory","99","","[]","105","0","setsizechunk","3S","furniture","1","","99","99","4","",""
"99","null","memory","16:32:00","8","柔和","13","memory","99","","[]","106","0","setsizechunk","3S","furniture","1","","99","99","4","",""
"99","null","memory","16:32:00","2","纸巾","7","memory","99","","[]","107","0","setsizechunk","3S","furniture","1","","99","99","4","",""
"99","null","memory","16:32:00","9","电池","4","memory","99","","[]","108","0","setsizechunk","3S","furniture","1","","99","99","4","",""
"99","null","memory","16:32:00","0","广阔","15","memory","99","","[]","109","0","setsizechunk","3S","furniture","1","","99","99","4","",""
"99","null","memory","16:32:00","0","钥匙","10","memory","99","","[]","110","1","setsizechunk","3S","furniture","1","","99","99","4","",""
