"rt","response","stage","start_time","s","word","word_id","phase","a_cor","a_real","a_ava","trial","tps","task_type","block_typ","pic_typ","block_id","cum_r","a","r","n_Prac","slider_start","pair_type"
"780","null","learn","18:12:06","0","0","0","learn","0","0","[0, 1, 2]","42","7","setsizechunk","6S","animals","1","2","0","1","3","",""
"996","null","learn","18:12:06","1","1","1","learn","0","0","[0, 1, 2]","43","7","setsizechunk","6S","animals","1","0","2","0","3","",""
"1537","null","learn","18:12:06","5","5","5","learn","2","2","[0, 1, 2]","44","7","setsizechunk","6S","animals","1","1","2","1","3","",""
"1182","null","learn","18:12:06","3","3","3","learn","1","1","[0, 1, 2]","45","7","setsizechunk","6S","animals","1","2","1","1","3","",""
"712","null","learn","18:12:06","2","2","2","learn","1","1","[0, 1, 2]","46","7","setsizechunk","6S","animals","1","0","0","0","3","",""
"964","null","learn","18:12:06","4","4","4","learn","2","2","[0, 1, 2]","47","7","setsizechunk","6S","animals","1","0","0","0","3","",""
"537","null","learn","18:12:06","3","3","3","learn","1","1","[0, 1, 2]","48","8","setsizechunk","6S","animals","1","1","1","1","3","",""
"1390","null","learn","18:12:06","0","0","0","learn","0","0","[0, 1, 2]","49","8","setsizechunk","6S","animals","1","2","0","1","3","",""
"908","null","learn","18:12:06","1","1","1","learn","0","0","[0, 1, 2]","50","8","setsizechunk","6S","animals","1","0","2","0","3","",""
"824","null","learn","18:12:06","4","4","4","learn","2","2","[0, 1, 2]","51","8","setsizechunk","6S","animals","1","1","2","1","3","",""
"1384","null","learn","18:12:06","5","5","5","learn","2","2","[0, 1, 2]","52","8","setsizechunk","6S","animals","1","2","2","1","3","",""
"783","null","learn","18:12:06","2","2","2","learn","1","1","[0, 1, 2]","53","8","setsizechunk","6S","animals","1","0","2","0","3","",""
"994","null","learn","18:12:06","4","4","4","learn","2","2","[0, 1, 2]","54","9","setsizechunk","6S","animals","1","1","2","1","3","",""
"976","null","learn","18:12:06","5","5","5","learn","2","2","[0, 1, 2]","55","9","setsizechunk","6S","animals","1","2","2","1","3","",""
"1142","null","learn","18:12:06","2","2","2","learn","1","1","[0, 1, 2]","56","9","setsizechunk","6S","animals","1","3","1","1","3","",""
"521","null","learn","18:12:06","1","1","1","learn","0","0","[0, 1, 2]","57","9","setsizechunk","6S","animals","1","0","1","0","3","",""
"804","null","learn","18:12:06","0","0","0","learn","0","0","[0, 1, 2]","58","9","setsizechunk","6S","animals","1","1","0","1","3","",""
"620","null","learn","18:12:06","3","3","3","learn","1","1","[0, 1, 2]","59","9","setsizechunk","6S","animals","1","2","1","1","3","",""
"798","null","learn","18:12:06","5","5","5","learn","2","2","[0, 1, 2]","60","10","setsizechunk","6S","animals","1","3","2","1","3","",""
"536","null","learn","18:12:06","1","1","1","learn","0","0","[0, 1, 2]","61","10","setsizechunk","6S","animals","1","4","0","1","3","",""
"1168","null","learn","18:12:06","4","4","4","learn","2","2","[0, 1, 2]","62","10","setsizechunk","6S","animals","1","5","2","1","3","",""
"814","null","learn","18:12:06","0","0","0","learn","0","0","[0, 1, 2]","63","10","setsizechunk","6S","animals","1","6","0","1","3","",""
"517","null","learn","18:12:06","3","3","3","learn","1","1","[0, 1, 2]","64","10","setsizechunk","6S","animals","1","7","1","1","3","",""
"991","null","learn","18:12:06","2","2","2","learn","1","1","[0, 1, 2]","65","10","setsizechunk","6S","animals","1","0","2","0","3","",""
"512","null","learn","18:12:06","2","2","2","learn","1","1","[0, 1, 2]","66","11","setsizechunk","6S","animals","1","1","1","1","3","",""
"914","null","learn","18:12:06","1","1","1","learn","0","0","[0, 1, 2]","67","11","setsizechunk","6S","animals","1","2","0","1","3","",""
